1024,10000
690,729
351,345
261,345
863,857
773,810
729,735
223,217
818,863
306,345
562,517
690,735
473,389
607,591
133,178
729,735
351,345
818,847
479,473
178,133
729,735
773,863
818,851
133,223
473,389
50,5
985,991
729,735
991,901
95,89
690,735
857,863
729,735
50,95
473,479
857,818
473,479
601,607
479,389
729,736
399,463
5,50
773,863
601,562
223,217
863,786
946,913
217,223
735,690
819,793
985,901
818,857
351,306
473,479
985,946
690,735
389,479
217,133
345,261
473,434
473,479
479,434
351,345
345,335
991,946
645,690
351,261
901,946
985,901
517,607
89,5
729,735
694,640
50,95
434,405
89,123
217,223
99,106
434,479
223,178
985,991
479,434
690,645
818,863
217,223
729,735
601,607
95,50
89,5
818,863
773,841
889,792
735,690
985,991
773,809
991,985
473,479
178,133
601,607
223,151
959,992
857,773
96,22
95,14
736,699
901,985
517,601
479,506
261,351
217,223
729,690
351,261
773,857
601,607
857,863
991,946
261,270
985,946
946,985
818,863
223,217
985,901
473,479
89,95
389,495
601,607
857,863
735,690
857,863
857,863
178,217
351,345
901,985
562,607
818,863
50,95
345,306
562,607
434,461
336,306
217,223
607,601
901,946
729,735
479,473
95,89
735,690
562,601
261,351
473,434
217,223
95,50
310,306
345,303
351,345
479,434
735,729
473,491
345,261
601,607
351,261
89,95
207,224
89,50
377,311
389,479
517,585
991,985
991,901
607,562
901,1009
389,457
389,479
89,95
5,15
893,827
133,178
901,985
863,773
601,607
863,818
985,991
1019,1015
857,845
562,626
473,479
351,261
261,329
473,479
479,389
729,735
351,345
502,397
946,985
645,729
217,223
306,351
607,601
532,520
217,223
473,479
223,217
735,729
607,517
473,479
607,601
517,607
607,517
223,178
818,857
901,998
345,351
133,217
818,785
607,601
857,828
901,943
863,773
434,458
607,562
351,261
991,978
473,389
64,13
217,223
473,479
389,435
223,178
991,946
89,95
95,123
17,28
178,223
991,946
5,47
607,627
735,729
946,901
217,223
389,431
5,89
50,89
89,95
261,351
991,946
601,517
735,690
532,520
178,223
95,5
473,479
857,773
857,852
479,473
434,479
690,729
223,133
89,50
607,526
217,178
133,217
773,863
434,473
261,329
562,607
735,690
345,351
645,735
5,95
735,729
223,175
991,985
946,991
133,223
607,601
607,517
389,479
601,607
479,432
729,735
607,601
345,351
857,773
735,690
601,607
89,123
133,217
473,389
818,863
473,392
95,89
113,58
735,654
42,118
729,735
320,324
369,314
42,85
690,729
89,5
178,223
960,904
562,534
351,345
576,595
345,351
95,50
729,690
985,990
89,95
389,473
660,704
89,95
351,345
758,705
345,301
473,434
261,345
223,133
345,261
209,141
351,345
345,306
473,479
729,735
901,985
735,729
681,683
64,126
595,517
946,985
517,607
89,95
607,601
901,909
645,694
818,863
95,89
601,607
601,562
729,763
911,930
89,95
946,901
479,389
345,351
50,95
985,991
991,946
95,89
95,50
145,159
985,991
562,607
857,773
818,864
729,690
517,607
901,973
89,95
991,946
345,351
473,494
95,89
773,863
473,434
345,306
517,607
479,389
389,479
345,306
773,841
985,991
95,89
913,991
261,345
517,516
901,985
729,690
479,473
223,217
434,479
517,562
946,991
729,735
479,398
601,604
645,735
89,50
133,178
434,389
607,517
345,351
241,186
95,50
351,261
351,306
89,29
217,178
473,434
473,479
223,178
985,991
991,946
601,607
985,946
645,735
946,901
991,946
345,351
473,387
479,389
178,133
901,985
351,306
351,261
562,607
601,607
985,901
351,345
601,517
546,607
133,223
473,479
89,95
991,985
863,892
517,607
306,261
645,684
89,5
133,178
306,351
645,687
95,23
857,773
991,919
389,473
601,607
351,306
473,389
479,434
645,735
160,202
607,601
729,645
434,479
389,434
863,857
217,223
261,345
607,562
729,735
351,345
89,23
426,482
991,901
351,306
832,884
50,95
133,131
729,735
729,735
729,690
351,306
345,351
985,991
857,863
879,810
690,735
5,50
133,223
991,946
178,223
607,601
562,601
863,773
223,133
773,818
389,434
434,479
345,351
601,517
95,5
192,211
143,207
50,5
601,562
143,211
773,818
517,611
389,473
645,729
351,345
434,479
645,729
729,645
473,479
901,946
991,985
345,261
601,517
729,735
89,50
345,377
217,223
473,434
133,223
479,434
607,526
217,223
389,434
95,14
89,95
306,351
601,607
818,773
5,50
50,5
818,863
217,223
217,223
985,991
938,947
857,863
